展示编号,选择排序,case_name,node_index,x,y,z,frequency_points,psd_relative_mae,psd_within25,relative_error_for_color
代表样本 1,1,case843_mises_full_export,22971,15.075872421264648,-29.756298065185547,7.684124946594238,77,0.02395474250367336,1.0,0.02395474250367336
代表样本 1,1,case843_mises_full_export,22888,15.816777229309082,-30.26192283630371,2.556889295578003,77,0.026200297875208903,1.0,0.026200297875208903
代表样本 1,1,case843_mises_full_export,23516,20.30929946899414,-53.20062255859375,15.0,77,0.02412412765081715,1.0,0.02412412765081715
代表样本 1,1,case843_mises_full_export,3733,97.3974838256836,-37.893157958984375,9.03408145904541,77,4.845985286494161,0.42857142857142855,4.845985286494161
代表样本 1,1,case843_mises_full_export,11267,-31.32876205444336,3.5527215003967285,9.218706130981444,77,0.03636078237364667,0.987012987012987,0.03636078237364667
代表样本 1,1,case843_mises_full_export,11302,-14.273927688598633,-28.50032997131348,7.457406044006348,77,0.04894245780064035,0.961038961038961,0.04894245780064035
代表样本 1,1,case843_mises_full_export,9438,-30.989227294921875,5.415393829345703,9.297016143798828,77,0.035387693667729904,1.0,0.035387693667729904
代表样本 1,1,case843_mises_full_export,24570,-45.3651123046875,1.093849778175354,15.0,77,0.038387579352038535,1.0,0.038387579352038535
代表样本 1,1,case843_mises_full_export,1819,-18.27626037597656,-31.62841415405273,15.0,77,0.021401228297761848,1.0,0.021401228297761848
代表样本 1,1,case843_mises_full_export,14345,-88.56045532226562,51.13040542602539,7.5,77,0.09349167631189158,0.8831168831168831,0.09349167631189158
代表样本 1,1,case843_mises_full_export,23335,-41.74009704589844,-0.4728810787200928,2.7629966735839844,77,0.04137274983955862,1.0,0.04137274983955862
代表样本 1,1,case843_mises_full_export,15871,36.35199737548828,-3.0503597259521484,0.0,77,0.024765665427473216,1.0,0.024765665427473216
代表样本 1,1,case843_mises_full_export,20571,-9.622968673706056,-88.02497863769531,7.5,77,0.04580646831400136,0.974025974025974,0.04580646831400136
代表样本 1,1,case843_mises_full_export,19603,20.5361328125,-42.32122802734375,0.0,77,0.026132652061301973,1.0,0.026132652061301973
代表样本 1,1,case843_mises_full_export,15943,15.270278930664062,-29.85665512084961,9.959060668945312,77,0.026907236194359016,1.0,0.026907236194359016
代表样本 1,1,case843_mises_full_export,10322,37.593936920166016,-2.3172998428344727,8.948244094848633,77,0.017327362541661163,1.0,0.017327362541661163
代表样本 1,1,case843_mises_full_export,20664,-39.47114562988281,-1.2508666515350342,0.0,77,0.026487959258926597,1.0,0.026487959258926597
代表样本 1,1,case843_mises_full_export,16433,-33.203651428222656,-4.832974433898926,9.595795631408691,77,0.04050820448183358,1.0,0.04050820448183358
代表样本 1,1,case843_mises_full_export,22543,19.457916259765625,-49.69590759277344,7.441722869873047,77,0.03810835999358058,1.0,0.03810835999358058
代表样本 1,1,case843_mises_full_export,21440,51.34538650512695,43.524391174316406,3.3186702728271484,77,0.07920763758011162,0.8831168831168831,0.07920763758011162
代表样本 1,1,case843_mises_full_export,16090,-10.90744972229004,-27.359832763671875,0.0,77,0.050797708068714274,0.948051948051948,0.050797708068714274
代表样本 1,1,case843_mises_full_export,1802,-20.20105743408203,24.15011978149414,15.0,77,0.014867174143747233,1.0,0.014867174143747233
代表样本 1,1,case843_mises_full_export,23519,-20.42242813110352,-35.53062438964844,9.927791595458984,77,0.02989980909289632,1.0,0.02989980909289632
代表样本 1,1,case843_mises_full_export,23833,45.30937194824219,1.0456387996673584,15.0,77,0.028467852998541536,1.0,0.028467852998541536
代表样本 1,1,case843_mises_full_export,15839,56.127559661865234,30.41927719116211,3.5012426376342773,77,0.08486490494595439,0.8311688311688312,0.08486490494595439
代表样本 1,1,case843_mises_full_export,12109,-35.51714324951172,-3.5222926139831543,1.7845693826675415,77,0.042302453003342975,0.987012987012987,0.042302453003342975
代表样本 1,1,case843_mises_full_export,19644,40.101707458496094,-1.0796109437942505,8.21749496459961,77,0.021120048419673708,1.0,0.021120048419673708
代表样本 1,1,case843_mises_full_export,15095,21.53436851501465,33.88102340698242,2.56877875328064,77,0.023191867669131123,1.0,0.023191867669131123
代表样本 1,1,case843_mises_full_export,12507,29.56654357910156,8.156472206115723,7.5371785163879395,77,0.04102317851290784,1.0,0.04102317851290784
代表样本 1,1,case843_mises_full_export,9963,0.037429392337799,31.87266540527344,13.772628784179688,77,0.033542832374412496,1.0,0.033542832374412496
代表样本 1,1,case843_mises_full_export,15965,13.335113525390623,-28.40204620361328,10.024341583251951,77,0.038416793588065094,1.0,0.038416793588065094
代表样本 1,1,case843_mises_full_export,17819,20.056251525878903,-47.45417022705078,3.6158273220062256,77,0.01954388087012506,1.0,0.01954388087012506
代表样本 1,1,case843_mises_full_export,16431,-50.93800354003906,4.41694974899292,2.8292999267578125,77,0.06182674702117824,0.922077922077922,0.06182674702117824
代表样本 1,1,case843_mises_full_export,13487,33.555328369140625,-4.366622924804688,1.0584146976470947,77,0.03867923110034075,1.0,0.03867923110034075
代表样本 1,1,case843_mises_full_export,15898,29.53134536743164,1.7423702478408811,1.23187518119812,77,0.0358927276419391,0.987012987012987,0.0358927276419391
代表样本 1,1,case843_mises_full_export,19587,-58.44918823242188,22.80038070678711,7.492398262023926,77,0.08660888713225118,0.8571428571428571,0.08660888713225118
代表样本 1,1,case843_mises_full_export,22972,13.140707969665527,-28.30169105529785,7.749404907226562,77,0.034837342030671126,1.0,0.034837342030671126
代表样本 1,1,case843_mises_full_export,15778,20.28362274169922,-38.98517608642578,12.5802001953125,77,0.03149749307633172,1.0,0.03149749307633172
代表样本 1,1,case843_mises_full_export,10350,21.26117706298828,33.39249420166016,15.0,77,0.02179821752682298,1.0,0.02179821752682298
代表样本 1,1,case843_mises_full_export,2915,31.88744163513184,-5.000253200531006,7.542587280273437,77,0.04289033773805728,1.0,0.04289033773805728
代表样本 1,1,case843_mises_full_export,13654,30.365732192993164,7.582303047180176,3.3142905235290527,77,0.03953351753805148,1.0,0.03953351753805148
代表样本 1,1,case843_mises_full_export,20835,-29.12464141845703,-4.173788547515869,15.0,77,0.06295604395714903,0.922077922077922,0.06295604395714903
代表样本 1,1,case843_mises_full_export,15320,-46.6282958984375,2.043429374694824,5.592296600341797,77,0.03173935613685663,1.0,0.03173935613685663
代表样本 1,1,case843_mises_full_export,19956,-45.78215789794922,40.64215850830078,3.926223993301392,77,0.02602906583115918,1.0,0.02602906583115918
代表样本 1,1,case843_mises_full_export,2792,-21.25146675109864,-37.89899444580078,4.653505325317383,77,0.026236953980148796,1.0,0.026236953980148796
代表样本 1,1,case843_mises_full_export,16694,-31.595325469970703,-4.805248737335205,11.03891658782959,77,0.04682469160776803,1.0,0.04682469160776803
代表样本 1,1,case843_mises_full_export,16641,19.453447341918945,-35.77467727661133,7.562829494476318,77,0.02000329192662037,1.0,0.02000329192662037
代表样本 1,1,case843_mises_full_export,959,37.95833206176758,-1.9157644510269165,0.0,77,0.024220011119735305,1.0,0.024220011119735305
代表样本 1,1,case843_mises_full_export,21681,29.53134536743164,1.7423702478408811,2.73187518119812,77,0.05225505578171389,0.948051948051948,0.05225505578171389
代表样本 1,1,case843_mises_full_export,22887,15.12448787689209,-29.957469940185547,5.2926130294799805,77,0.024628328506618606,1.0,0.024628328506618606
代表样本 1,1,case843_mises_full_export,19019,-26.00205993652344,37.028900146484375,11.93589210510254,77,0.03380441842757562,1.0,0.03380441842757562
代表样本 1,1,case843_mises_full_export,15602,-27.14740753173828,10.2599458694458,0.0,77,0.044240755027510806,0.974025974025974,0.044240755027510806
代表样本 1,1,case843_mises_full_export,16653,-33.85543441772461,-4.298155784606934,13.232261657714844,77,0.03094541948279608,1.0,0.03094541948279608
代表样本 1,1,case843_mises_full_export,12151,26.94667053222656,10.994474411010742,11.275896072387695,77,0.04575647090224537,1.0,0.04575647090224537
代表样本 1,1,case843_mises_full_export,16230,-16.637744903564453,-55.39332580566406,0.0,77,0.04009991599089623,1.0,0.04009991599089623
代表样本 1,1,case843_mises_full_export,23172,52.07513427734375,6.022749900817871,15.0,77,0.037741778201938386,1.0,0.037741778201938386
代表样本 1,1,case843_mises_full_export,11992,-28.956796646118164,8.460540771484375,11.22577667236328,77,0.04383763463188011,1.0,0.04383763463188011
代表样本 1,1,case843_mises_full_export,19122,-20.460357666015625,25.07093620300293,0.0,77,0.02789077530584794,1.0,0.02789077530584794
代表样本 1,1,case843_mises_full_export,23157,40.05485916137695,-0.8135769367218018,15.0,77,0.02283786734348381,1.0,0.02283786734348381
代表样本 1,1,case843_mises_full_export,24922,-21.924116134643555,-53.54221725463867,15.0,77,0.06513525151088985,0.8701298701298701,0.06513525151088985
代表样本 1,1,case843_mises_full_export,7656,46.671016693115234,1.8767004013061523,7.3034987449646,77,0.02061081963421946,1.0,0.02061081963421946
代表样本 1,1,case843_mises_full_export,23778,-23.36512565612793,34.389495849609375,12.903745651245115,77,0.027835750736352118,1.0,0.027835750736352118
代表样本 1,1,case843_mises_full_export,16335,-40.09627914428711,-0.7929974794387817,15.0,77,0.025047312721960827,1.0,0.025047312721960827
代表样本 1,1,case843_mises_full_export,17615,-35.54904556274414,-3.475062608718872,7.926547527313232,77,0.03544987341564439,1.0,0.03544987341564439
代表样本 1,1,case843_mises_full_export,21787,30.17310333251953,7.731270790100098,15.0,77,0.039013996557030195,1.0,0.039013996557030195
代表样本 1,1,case843_mises_full_export,19265,-4.248690128326416,-76.8565673828125,7.5,77,0.07401608034451311,0.8831168831168831,0.07401608034451311
代表样本 1,1,case843_mises_full_export,2951,23.574676513671875,37.16504287719727,5.137557506561279,77,0.030230047832116146,1.0,0.030230047832116146
代表样本 1,1,case843_mises_full_export,3559,-33.560401916503906,-4.56419038772583,11.464524269104004,77,0.028649994872159676,1.0,0.028649994872159676
代表样本 1,1,case843_mises_full_export,23697,10.54387092590332,-27.4637451171875,1.4579744338989258,77,0.0491045065286158,0.961038961038961,0.0491045065286158
代表样本 1,1,case843_mises_full_export,1248,55.38431167602539,10.68019962310791,0.0,77,0.0906292011329372,0.8701298701298701,0.0906292011329372
代表样本 1,1,case843_mises_full_export,22449,27.99712181091309,40.48236083984375,15.0,77,0.029752061153495952,1.0,0.029752061153495952
代表样本 1,1,case843_mises_full_export,19643,39.622100830078125,-0.9614553451538086,10.53689193725586,77,0.027438970326518566,1.0,0.027438970326518566
代表样本 1,1,case843_mises_full_export,2942,37.11432647705078,-2.199144124984741,11.267640113830566,77,0.01761285391751096,1.0,0.01761285391751096
代表样本 1,1,case843_mises_full_export,19123,-20.662761688232425,27.72472381591797,2.120471239089966,77,0.029318186893300215,1.0,0.029318186893300215
代表样本 1,1,case843_mises_full_export,12817,18.40777015686035,-33.99419403076172,4.899144172668457,77,0.022488623628069273,1.0,0.022488623628069273
代表样本 1,1,case843_mises_full_export,15618,-39.310333251953125,-1.07166588306427,12.612415313720703,77,0.021154090985897687,1.0,0.021154090985897687
代表样本 1,1,case843_mises_full_export,11184,1.7794817686080933,32.07626724243164,9.707247734069824,77,0.07594924950998658,0.8311688311688312,0.07594924950998658
代表样本 1,1,case843_mises_full_export,23145,35.617713928222656,-3.10993766784668,13.133819580078123,77,0.022424274484742986,1.0,0.022424274484742986
代表样本 1,1,case843_mises_full_export,1599,-34.15046691894531,-4.032121181488037,15.0,77,0.026573539680352302,1.0,0.026573539680352302
代表样本 1,1,case843_mises_full_export,17155,29.78262519836425,8.107828140258789,9.545175552368164,77,0.035258825321064946,1.0,0.035258825321064946
代表样本 1,1,case843_mises_full_export,8457,30.88482666015625,2.87955379486084,7.087353706359863,77,0.030442192168549525,1.0,0.030442192168549525
代表样本 1,1,case843_mises_full_export,10094,-29.12865829467773,8.520264625549316,1.2827945947647097,77,0.040439240265540875,1.0,0.040439240265540875
代表样本 1,1,case843_mises_full_export,10846,20.186717987060547,26.61648941040039,13.570356369018556,77,0.03163771871403661,1.0,0.03163771871403661
代表样本 1,1,case843_mises_full_export,23290,20.5559310913086,30.93133544921875,15.0,77,0.022466076371281153,1.0,0.022466076371281153
代表样本 1,1,case843_mises_full_export,13348,-11.490373611450195,-27.97144317626953,10.87991428375244,77,0.04827731439855869,1.0,0.04827731439855869
代表样本 1,1,case843_mises_full_export,10341,36.22029876708984,-2.8100390434265137,5.239939212799072,77,0.02663661999395117,1.0,0.02663661999395117
代表样本 1,1,case843_mises_full_export,13062,-1.8498682975769043,31.40437698364257,1.524180293083191,77,0.05325030089811839,0.974025974025974,0.05325030089811839
代表样本 1,1,case843_mises_full_export,8049,29.616744995117188,1.574708342552185,13.87619400024414,77,0.03167668337458986,0.987012987012987,0.03167668337458986
代表样本 1,1,case843_mises_full_export,1286,3.170762300491333,-60.07118606567383,0.0,77,0.08317587161194775,0.8571428571428571,0.08317587161194775
代表样本 1,1,case843_mises_full_export,8404,-63.20514678955078,-84.26678466796875,11.068242073059082,76,1.3301375698155378,0.6447368421052632,1.3301375698155378
代表样本 1,1,case843_mises_full_export,15765,38.899993896484375,-1.013091802597046,3.659554958343506,77,0.022844964904066588,1.0,0.022844964904066588
代表样本 1,1,case843_mises_full_export,24863,24.80524444580078,38.0306396484375,15.0,77,0.025675095618527093,1.0,0.025675095618527093
代表样本 1,1,case843_mises_full_export,15322,-49.48314666748047,3.812658071517944,7.88345193862915,77,0.028195827854177253,1.0,0.028195827854177253
代表样本 1,1,case843_mises_full_export,7899,-0.1811527013778686,31.50435256958008,8.8895845413208,77,0.033137471402062454,1.0,0.033137471402062454
代表样本 1,1,case843_mises_full_export,1608,34.1211051940918,-4.020730972290039,15.0,77,0.027379810103848757,1.0,0.027379810103848757
代表样本 1,1,case843_mises_full_export,14512,42.43246078491211,0.3281959295272827,1.921756267547608,77,0.024872788955312367,1.0,0.024872788955312367
代表样本 1,1,case843_mises_full_export,13550,34.556358337402344,-3.6847891807556152,1.9255151748657229,77,0.032109861178988855,1.0,0.032109861178988855
代表样本 1,1,case843_mises_full_export,3372,32.364994049072266,-4.548291206359863,2.116829395294189,77,0.034851367847673446,1.0,0.034851367847673446
代表样本 1,1,case843_mises_full_export,24874,30.472156524658203,51.16827774047852,15.0,77,0.25503625608141556,0.8051948051948052,0.25503625608141556
代表样本 1,1,case843_mises_full_export,17600,-35.04978942871094,-3.473552227020264,11.556241989135742,77,0.03405975553436906,1.0,0.03405975553436906
代表样本 1,1,case843_mises_full_export,20868,-35.344825744628906,-3.207517623901367,13.323980331420898,77,0.02643903372083585,1.0,0.02643903372083585
代表样本 1,1,case843_mises_full_export,21791,-17.497711181640625,-31.392358779907227,12.427085876464844,77,0.01761324957123498,1.0,0.01761324957123498
代表样本 1,1,case843_mises_full_export,2409,-59.52336883544922,28.890369415283203,7.116311073303223,67,0.13490595685929727,0.8208955223880597,0.13490595685929727
代表样本 1,1,case843_mises_full_export,1803,20.27019119262696,23.05692481994629,15.0,77,0.022350788978230837,1.0,0.022350788978230837
代表样本 1,1,case843_mises_full_export,18567,-16.275501251220703,-30.495649337768555,1.611443042755127,77,0.030623552017518645,1.0,0.030623552017518645
代表样本 1,1,case843_mises_full_export,17601,-34.69303894042969,-3.74233627319336,9.68751335144043,77,0.03909382004065548,1.0,0.03909382004065548
代表样本 1,1,case843_mises_full_export,15899,30.806835174560547,2.1658451557159424,2.473203182220459,77,0.054572858040329894,0.935064935064935,0.054572858040329894
代表样本 1,1,case843_mises_full_export,19316,51.58879852294922,5.18651294708252,0.0,77,0.02463808694972306,1.0,0.02463808694972306
代表样本 1,1,case843_mises_full_export,17862,-38.94562911987305,-0.938915193080902,2.7074551582336426,77,0.035846828470950005,1.0,0.035846828470950005
代表样本 1,1,case843_mises_full_export,929,-35.49267578125,-3.2318875789642334,0.0,77,0.02895082058834801,1.0,0.02895082058834801
代表样本 1,1,case843_mises_full_export,19573,26.808822631835938,39.36087417602539,2.56877875328064,77,0.025702211947645992,1.0,0.025702211947645992
代表样本 1,1,case843_mises_full_export,24399,-56.77363586425781,9.829527854919434,7.328230857849121,77,0.027618518646492007,1.0,0.027618518646492007
代表样本 1,1,case843_mises_full_export,15782,19.73538017272949,-38.21692657470703,10.300775527954102,77,0.027620422271346406,1.0,0.027620422271346406
代表样本 1,1,case843_mises_full_export,2195,42.1298713684082,0.2762334048748016,9.806142807006836,77,0.019249256033346044,1.0,0.019249256033346044
代表样本 1,1,case843_mises_full_export,25110,-41.21458435058594,-0.1609295606613159,5.470451831817627,77,0.03452120005007978,1.0,0.03452120005007978
代表样本 1,1,case843_mises_full_export,1593,28.785764694213867,9.470402717590332,15.0,77,0.029927139871605588,1.0,0.029927139871605588
代表样本 1,1,case843_mises_full_export,19553,-36.67226791381836,-2.37205457687378,5.941473007202148,77,0.03736044350004598,1.0,0.03736044350004598
代表样本 1,1,case843_mises_full_export,20415,-12.47804832458496,-93.56841278076172,7.5,77,0.050816237452412,0.974025974025974,0.050816237452412
代表样本 1,1,case843_mises_full_export,22345,-59.50862884521485,-3.721201419830322,11.842615127563477,77,0.39594451349921067,0.7662337662337663,0.39594451349921067
