展示编号,选择排序,case_name,node_index,target_rmises,pred_rmises,node_label,x,y,z,RMises_native,abs_error,relative_error,pred_target_ratio,target_rank,target_rank_fraction,relative_error_for_color
代表样本 1,1,case843_mises_full_export,6850,13969.669507041244,13620.66481349878,6851,-8.464741706848145,123.50503540039062,10.0,14118.76904296875,349.00469354246525,0.0249830315145647,0.9750169684854352,1849,0.1386368748594136,0.0249830315145647
代表样本 1,1,case843_mises_full_export,1329,13966.46896098114,12208.366826769983,1330,8.260430335998535,66.41670989990234,0.0,15361.122504340276,1758.102134211158,0.1258802163326221,0.8741197836673779,1850,0.1387118542400839,0.1258802163326221
代表样本 1,1,case843_mises_full_export,6668,13964.312748088953,11324.400775968314,6669,-20.22198486328125,109.06729888916016,6.263501167297363,11557.58037109375,2639.911972120639,0.1890470386723411,0.8109529613276588,1851,0.1387868336207542,0.1890470386723411
代表样本 1,1,case843_mises_full_export,4268,13944.761688075005,28721.421329307723,4269,115.14006042480467,-72.71217346191406,8.75,18606.528971354168,14776.659641232718,1.0596566633239146,2.0596566633239144,1852,0.1388618130014246,1.0596566633239146
代表样本 1,1,case843_mises_full_export,6757,13940.86808654546,12345.88926067822,6758,-5.619498252868652,120.83464050292967,7.417918682098389,13965.5365234375,1594.9788258672395,0.1144102946793232,0.8855897053206767,1853,0.1389367923820949,0.1144102946793232
代表样本 1,1,case843_mises_full_export,5998,13939.492469981436,14822.0254496021,5999,-76.42084503173828,-79.11924743652344,5.0,13979.689819335938,882.5329796206643,0.0633117010193298,1.0633117010193298,1854,0.1390117717627652,0.0633117010193298
代表样本 1,1,case843_mises_full_export,22419,13933.07941019684,13671.779981913123,22420,-59.951934814453125,-30.639413833618164,15.0,15577.153645833334,261.2994282837153,0.0187538892581409,0.9812461107418592,1855,0.1390867511434355,0.0187538892581409
代表样本 1,1,case843_mises_full_export,7030,13927.247749957229,13719.78929739523,7031,-10.251880645751951,109.52122497558594,7.5,13112.92939453125,207.45845256199755,0.0148958686085436,0.9851041313914564,1856,0.1391617305241058,0.0148958686085436
代表样本 1,1,case843_mises_full_export,5344,13923.593277614536,12833.77304886263,5345,-93.9316864013672,-72.39193725585938,7.5,13634.0681640625,1089.820228751907,0.0782714782759455,0.9217285217240544,1857,0.1392367099047761,0.0782714782759455
代表样本 1,1,case843_mises_full_export,7016,13921.704901841827,14376.658331080564,7017,5.259673118591309,118.72791290283205,10.0,13894.02392578125,454.9534292387361,0.032679433477903,1.032679433477903,1858,0.1393116892854465,0.032679433477903
代表样本 1,1,case843_mises_full_export,7279,13921.662537415668,15819.10693665685,7280,5.565555572509766,121.79930114746094,5.0,13974.34716796875,1897.4443992411836,0.1362943825237566,1.1362943825237566,1859,0.1393866686661168,0.1362943825237566
代表样本 1,1,case843_mises_full_export,808,13920.115606116327,15437.817443152548,809,-14.770682334899902,137.3402557373047,10.0,13637.516927083334,1517.7018370362202,0.1090293988915839,1.109029398891584,1860,0.1394616480467871,0.1090293988915839
代表样本 1,1,case843_mises_full_export,6368,13899.373696848044,13587.156592790025,6369,4.38442850112915,122.93672943115234,6.128661155700684,13818.205729166666,312.2171040580215,0.0224626742806996,0.9775373257193004,1861,0.1395366274274574,0.0224626742806996
代表样本 1,1,case843_mises_full_export,5429,13891.077306011122,14540.830318284234,5430,-97.18138122558594,-65.45316314697266,8.677939414978027,13855.54052734375,649.7530122731114,0.0467748467566257,1.0467748467566258,1862,0.1396116068081277,0.0467748467566257
代表样本 1,1,case843_mises_full_export,6743,13885.954710217384,13888.74959117486,6744,12.640814781188965,112.4626235961914,7.5,13449.6103515625,2.7948809574754705,0.0002012739502469,1.0002012739502468,1863,0.1396865861887981,0.0002012739502469
代表样本 1,1,case843_mises_full_export,4894,13883.628533789824,12163.594986242124,4895,-74.22429656982422,-81.43114471435547,5.0,14636.859049479166,1720.0335475476986,0.123889337961002,0.8761106620389979,1864,0.1397615655694684,0.123889337961002
代表样本 1,1,case843_mises_full_export,7074,13876.961660855302,16163.336081063087,7075,8.110511779785156,124.13566589355467,5.0,13862.8447265625,2286.374420207785,0.1647604480062291,1.164760448006229,1865,0.1398365449501387,0.1647604480062291
代表样本 1,1,case843_mises_full_export,621,13874.23004789797,16323.732761189754,622,-82.43104553222656,-77.48589324951172,10.0,12557.11944110577,2449.502713291784,0.1765505332429527,1.176550533242953,1866,0.139911524330809,0.1765505332429527
